,root,abbr,reflex,meaning,notes,A's comments,E translated,F translated
6,"andher-, ṇdher-",gr,ἄνθρωπος,"mit bärtigem Gesicht = Mann', dann 'Mensch","Güntert Heidelberg. SB. 1915, Abh. X?; vgl.auch Schwyzer Gr. Gr. I 426^^4^^. Nach Kretschmer Gl. 28, 246 aus *ανδρ-ὡπός, der Spiritus asper von ὁράω usw. übertragen?",questionable (vielleicht),"with a bearded face = man', then 'human'","Güntert Heidelberg. SB. 1915, Abh. X?; also see Schwyzer Gr. Gr. I 426^^4^^. According to Kretschmer Gl. 28, 246 from *ανδρ-ὡπός, the Spiritus asper transferred from ὁράω etc.?"
7,"andher-, ṇdher-",gr,"ἀθάρη, ἀθήρᾱ","Weizenmehlbrei, Speltgraupen","*ἀθαρϝᾱ, (von Plin. n. h. 22, 121 allerdings als ägypt. Wort bezeichnet)?",,"wheat flour porridge, spelt groats","*ἀθαρϝᾱ, (von Plin. n. h. 22, 121 allerdings als ägypt. Wort bezeichnet)? [UNKNOWN]"
,,,,,,,,
0,ang̑hen-,Arm.,anjn,"Seele, Wesen, Person",,,"soul, essence, person",
1,ang̑hen-,Arm.,anjin,"Seele, Wesen, Person",,,"soul, essence, person",
2,ang̑hen-,anord.,angi,"Duft, Geruch",,,"fragrance, smell",
0,"3. ap-, āp-",Ai.,apvā́,"Krankheit, Durchfall",,,"illness, diarrhea",
1,"3. ap-, āp-",av.,afša-,"Schaden, Unheil",(von einem -es-St.),,"harm, misfortune",(of an -es-St.)
2,"3. ap-, āp-",lit.,opū́s,"schwach, wund, gebrechlich","(Charpentier KZ. 40, 442 f.)",,"weak, sore, frail","(Charpentier KZ. 40, 442 f.) [UNKNOWN]"
3,"3. ap-, āp-",gr.,ἠπεδανός,"gebrechlich, schwach","(Bezzenberger BB. 1, 164; zum Ausgang s. Risch 98; anders Schwyzer Gr. Gr. I 530)",probably (vermutlich),"frail, weak","(Bezzenberger BB. 1, 164; see Risch 98 for the origin; differently Schwyzer Gr. Gr. I 530)"
0,appa,gr,ἄππα,Papa,,,dad,
1,appa,gr,ἀπφά,Papa,,,dad,
2,appa,gr,ἄπφα,Papa,,,dad,
3,appa,gr,ἀπφῦς,Papa,Theokrit,,dad,Theocritus
4,appa,toch,appakke,Vater,das -(a)kke von ammakki 'Mutter',,father,the -(a)kke of ammakki 'mother'
0,3. ar-,gr.,ἄρυα,τὰ ̔Hρακλεωτικὰ κάρvα,Hes.; G. Meyer Alb. Wb. 17,,τὰ ̔Hρακλεωτικὰ κάρvα 'hazelnut',Hes.; G. Meyer Alb. Wb. 17 [UNKNOWN]
1,3. ar-,alb.,arrë,Nußbaum',,,walnut tree,
2,3. ar-,aksl.,orěchъ,Nuß',,,nut,
3,3. ar-,lit.,ríešutas,Haselnuß',,,hazelnut,
3,3. ar-,lit.,ruošutỹs,Haselnuß',,,hazelnut,
4,3. ar-,lett.,rieksts,"Nuß, Haselnuß'",,,"nut, hazelnut",
5,3. ar-,apr.,buccareisis,Buchecker',s. Trautmann Apr. 314 nimmt Specht Dekl. 62 an,,beech nut,s. Trautmann Apr. 314 assumes Specht Dekl. 62
0,5. ar-,Gr.,ἀρνέομαι,verweigere',*ἀρνε-F-ομαι,,"refuse, deny",*ἀρνε-F-ομαι [UNKNOWN]
1,5. ar-,Gr.,ἄπαρνος,"verweigernd, leugnend'",,,"refusing, denying",
1,5. ar-,Gr.,ἔξαρνος,"verweigernd, leugnend'",,,"refusing, denying",
2,5. ar-,Gr.,ἀρύει,ἀντιλέγει βοᾷ,Hes.,,"contradict, deny",Hes. [UNKNOWN]
3,5. ar-,alb.,rrêm,falsch',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)",,false',"(rr from rn; Pedersen KZ. 33, 542 Note 2)"
4,5. ar-,alb.,rrêmë,Lüge',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)",,lie,"(rr from rn; Pedersen KZ. 33, 542 Note 2)"
4,5. ar-,alb.,rrênë,Lüge',"(rr aus rn; Pedersen KZ. 33, 542 Anm. 2)",,lie,"(rr from rn; Pedersen KZ. 33, 542 Note 2)"
5,5. ar-,alb.,nërrój,leugne',"(aus *rrënój, rr aus rn; Pedersen KZ. 33, 542 Anm. 2)",,"deny, disavow","(from *rrënój, rr from rn; Pedersen KZ. 33, 542 note 2)"
6,5. ar-,arm.,uranam,"leugne, verweigere'","Noch fraglicher ist, ob arm. uranam 'leugne, verweigere', urast 'das Leugnen' verwandt sei (mit ur- aus ōr-)",questionable (noch fraglicher ist),"deny, refuse","It is even more questionable whether arm. uranam 'deny, refuse', urast 'denial' is related (with ur- from ōr-)"
7,5. ar-,arm.,urast,das Leugnen',"Noch fraglicher ist, ob arm. uranam 'leugne, verweigere', urast 'das Leugnen' verwandt sei (mit ur- aus ōr-)",questionable (noch fraglicher ist),denial,"It is even more questionable whether arm. uranam 'deny, refuse', urast 'denial' is related (with ur- from ōr-)"
0,ardh-,Arm.,ardn,"Lanze, Speer",,,"lance, spear",
1,ardh-,lit.,ar̃das,Stangengerüst zum Flachstrocknen,,,frame for flat drying,
2,ardh-,alt.,ardamas,die in der Diagonale des Segels stehende Spreizstange,"zur Bed. Bezzenberger GGA. 1885, 920, Petersson KZ. 47, 245 (die lit. Wörter nicht besser nach Leskien Abl. 329 zu ardýti spalten, trennen', s. unten __er__ 'locker').",,diagonal spreader standing in the sail,"regarding meaning Bezzenberger GGA. 1885, 920, Petersson KZ. 47, 245 (the literary words no better according to Leskien Abl. 329 to ardýti divide, separate', see below __er__ 'loose')."
0,"ardi-, r̥di-",Ai.,ali,"Biene, Skorpion","aus *aḍi, idg. *r̥di = gr. ἄρδις 'Pfeilspitze, Stachel'",,"bee, scorpion","from *aḍi, idg. *r̥di = Greek ἄρδις 'arrowhead, thorn'"
1,"ardi-, r̥di-",air.,aird,"Punkt, Spitze, Himmelsrichtung",*ardi,,"point, tip, direction",*ardi [UNKNOWN]
2,"ardi-, r̥di-",anord.,erta,"aufstacheln, anreizen, necken","*artjan, eine andere Deutung von erta unter er-, er-d- 'in Bewegung setzen'","er-, er-d- linked to other roots","provoke, incite, tease","*artjan, another interpretation of erta under er-, er-d- 'set in motion'"
0,areg-,Ai.,argala-ḥ,Riegel,,,"bolt, latch",
1,areg-,Ai.,argalā,Riegel,,,"bolt, latch",
2,areg-,maked.,ἄργελλα,Badehütte,,,bathing hut,
3,areg-,alb.,ragál,Hütte,,,"hut, cottage",
4,areg-,kimmer.,ἄργιλλα,unterirdische Wohnung,*arg-el-i̯ā 'unterirdische Wohnung',,underground dwelling,*arg-el-i̯ā 'underground dwelling'
5,areg-,as.,racud,"Gebäude, Haus",,,"building, house",
6,areg-,ags.,reced,"Gebäude, Haus",,,"building, house",
0,"arōd-, arəd-",Gr.,ῥωδιός,Reiher,,,heron,
1,"arōd-, arəd-",Gr.,ἐρωδιός,Reiher,ἐρῳδιός volksetym. im Ausgang nach -ίδιος,,heron,"ἐρῳδιός folk-etymologically, in the ending -ίδιος"
2,"arōd-, arəd-",lat.,ardea,Reiher,*arəd-,,heron,*arəd- [UNKNOWN]
3,"arōd-, arəd-",anord.,arta,Kriekente,,,duck,
4,"arōd-, arəd-",aschwed.,ärta,Kriekente,,,duck,
5,"arōd-, arəd-",anord.,ertla,Bachstelze,Demin.,,wagtail,Demin. [UNKNOWN]
6,"arōd-, arəd-",norw.,erle,Bachstelze,,,wagtail,
7,"arōd-, arəd-",serb.,róda,Storch,*rədā́,,stork,*rədā́ [UNKNOWN]
0,aro-m,Gr.,ἄρον n.,"Natterwurz, Art Schilfrohr",,,"adder's tongue, type of reed",
1,aro-m,Gr.,ἀρί-σαρον,eine kleine Art davon,,,a small type of it,
2,aro-m,lat.,harundō,Rohr,zur Bildung vgl. hirundō und nebrundines : νεφροί,,reed,regarding formation compare hirundō and nebrundines : νεφροί
3,aro-m,lat.,arista,"Hachel, Granne an der Ähre","Das von Persson De orig. gerundii 59 angereihte lat. arista 'Hachel, Granne an der Ähre', aristis 'holcus' unterliegt wegen seines zu genista u. dgl. stimmenden Suffixes stark dem Verdachte, etruskisch zu sein (s. Herbig IF. 37, 171, 178)",,"awn, bristle on the ear of grain","The Latin word arista, listed by Persson De orig. gerundii 59, meaning 'awndle, awn on the ear of corn', aristis 'holcus', is strongly suspected to be Etruscan due to its suffix resembling genista and the like. (see Herbig IF. 37, 171, 178)"
4,aro-m,lat.,aristis,holcus,"Das von Persson De orig. gerundii 59 angereihte lat. arista 'Hachel, Granne an der Ähre', aristis 'holcus' unterliegt wegen seines zu genista u. dgl. stimmenden Suffixes stark dem Verdachte, etruskisch zu sein (s. Herbig IF. 37, 171, 178)",,velvet grass,"The Latin word arista, listed by Persson De orig. gerundii 59, meaning 'awndle, awn on the ear of corn', aristis 'holcus', is strongly suspected to be Etruscan due to its suffix resembling genista and the like. (see Herbig IF. 37, 171, 178)"
5,aro-m,,,,,"Delete this row -- ""Aus einer Mittelmeersprache?"" applies to all entries for this form",,
0,aru̯ā,Gr.,ὀρύᾱ,Darm,f.,,intestine,f. [UNKNOWN]
1,aru̯ā,lat.,arvīna,"Schmer, Fett, Speck",f.; ursprüngl. 'Darmfett'? (vgl. ahd. mitta-garni 'das in der Mitte der Gedärme liegende Fett'),,"lard, fat, bacon",f.; originally 'intestinal fat'? (cf. Old High German mitta-garni 'the fat located in the middle of the intestines')
2,aru̯ā,Gr.,ἀρβίννη,κρέας. Σικελοί,Hes. ist lat. Lw.,,κρέας. Σικελοί 'meat (Sicilian)',Hes. is Latin abbreviation.
0,"*ati-, ateli-",Gr.,ἐτελίς,Goldbrassen',(kann aus *ἀτελίς assimiliert sein),,gilt-head bream,(kann aus *ἀτελίς assimiliert sein) [UNKNOWN]
1,"*ati-, ateli-",lat.,attilus,ein störähnlicher großer Fisch im Po',"(wohl gall. oder ligur.: Holder Altcelt. Sprachsch. s. v., M.-L. 766; anders Hirt IF. 37, 222)",,a sturgeon-like large fish in the Po River,"(probably Gaulish or Ligurian: Holder Altcelt. Sprachsch. s. v., M.-L. 766; different Hirt IF. 37, 222)"
2,"*ati-, ateli-",alit.,atìs,Steinbutte',,,turbot,
3,"*ati-, ateli-",lit.,õtas,Steinbutte',,,turbot,
4,"*ati-, ateli-",lett.,ãte,Steinbutte',,,turbot,
0,"2. au-, au̯-es-, au-s-",Arm.,aganim,übernachte,,,stay overnight,
1,"2. au-, au̯-es-, au-s-",Arm.,vair-ag,auf dem Lande lebend,,,living in the countryside,
2,"2. au-, au̯-es-, au-s-",Arm.,aut',"Übernachten, Nachtruhe, Station",,,"overnight stay, rest, station",
3,"2. au-, au̯-es-, au-s-",Gr.,ἰαύω,schlafe,"aus redupl. *i-ausō, Aor. ἰ-αῦσαι, woneben unredupl. Aor. ἄεσα, Inf. ἀFέσ(σ)αι",,sleep,"from redupl. *i-ausō, Aor. ἰ-αῦσαι, alongside unredupl. Aor. ἄεσα, Inf. ἀFέσ(σ)αι"
4,"2. au-, au̯-es-, au-s-",Gr.,"αὖλις, -ιδος","Aufenthaltsort, Lager, Stall, Nachtlager",,,"location, camp, stall, night shelter",
5,"2. au-, au̯-es-, au-s-",Gr.,αὐλίζομαι,"bin im Hofe, übernachte",,,"I'm in the courtyard, staying overnight",
6,"2. au-, au̯-es-, au-s-",Gr.,ἄγραυλος,im Freien übernachtend,,,staying overnight outdoors,
7,"2. au-, au̯-es-, au-s-",Gr.,αὐλή,"Hof, Wohnung","ursprüngl. wohl 'der eingezäunte Raum ums Haus, in dem das Vieh für die Nachtzeit zusammengetrieben wird'",,"courtyard, home","originally probably 'the fenced area around the house, where the livestock is gathered for the night'"
8,"2. au-, au̯-es-, au-s-",Gr.,ἰαυθμός,Nachtlager,von ἰαύω stammt,,"night camp, sleeping place",stammt from ἰαύω
9,"2. au-, au̯-es-, au-s-",Gr.,μηλιαυθμός,Schafstall,von ἰαύω stammt,,"sheep pen, sheepfold",stammt from ἰαύω
10,"2. au-, au̯-es-, au-s-",Gr.,ἐνιαυθμός,Aufenthaltsort,von ἰαύω stammt (: hom. ἐνιαύειν 'sein Ruhequartier haben'),,"location, whereabouts",von ἰαύω stammt (: hom. ἐνιαύειν 'sein Ruhequartier haben') [UNKNOWN]
11,"2. au-, au̯-es-, au-s-",Gr.,ἐνιαυτός,"Rast, Ruhestation","eigentlich 'Rast, Ruhestation', daher die Sonnenwenden als Ruhestationen im Sonnenlauf (solstitium), dann 'Jahr, Jahrestag' (anders Specht Idg. Dekl. 15, Schwyzer Gr. Gr. I, 424^^5^^, s. auch en- 'Jahr')",,"rest, resting place","actually 'rest, resting place', hence the solstices as resting places in the sun's course (solstitium), then 'year, anniversary' (different from Specht Idg. Dekl. 15, Schwyzer Gr. Gr. I, 424^^5^^, see also en- 'year')"
12,"2. au-, au̯-es-, au-s-",Gr.,ἀωτεῖς ὕπνον,"to sleep, stay overnight","Eine schwere Basis *au̯ē-, *au̯ō- in den wohl anzureihenden hom. (von Schulze Qu. ep. 72 unmittelbar zu ἰαύω gestellt unter formalem Vergleich von ἐρ(ϝ)ωτάω : εἴρομαι aus *ἔρϝομαι)",,"to sleep, stay overnight","A heavy base *au̯ē-, *au̯ō- probably to be classified with ἰαύω (immediate school reference, ep. 72, by Schulze) placed in a formal comparison of ἐρ(ϝ)ωτάω: εἴρομαι derived from *ἔρϝομαι"
13,"2. au-, au̯-es-, au-s-",Gr.,ἄωρος,ὕπνος,(Sappho),,ὕπνος 'sleep',(Sappho)
,"2. au-, au̯-es-, au-s-",Gr.,ὦρος,ὕπνος,(Kallimachos); Benfey Wzl.-Lex. I 298,,ὕπνος 'sleep',(Kallimachos); Benfey Wzl.-Lex. I 298 [UNKNOWN]
14,"2. au-, au̯-es-, au-s-",ags.,wērig,müde,"*au̯ē-, *au̯ō-",,tired,"*au̯ē-, *au̯ō- [UNKNOWN]"
15,"2. au-, au̯-es-, au-s-",engl.,weary,müde,"*au̯ē-, *au̯ō-",,tired,"*au̯ē-, *au̯ō- [UNKNOWN]"
16,"2. au-, au̯-es-, au-s-",as.,"wōrag, wōrig",müde,"*au̯ē-, *au̯ō-",,tired,"*au̯ē-, *au̯ō- [UNKNOWN]"
17,"2. au-, au̯-es-, au-s-",ahd.,wuorag,berauscht,"*au̯ē-, *au̯ō-",,intoxicated,"*au̯ē-, *au̯ō- [UNKNOWN]"
18,"2. au-, au̯-es-, au-s-",ai.,vāyati,wird müde,"über ai. vāyati 'wird müde'; s. aber Wz. __au̯ē-__ 'sich mühen, anstrengen'",,becomes tired,"about ai. vāyati 'gets tired'; but see root __au̯ē-__ 'to exert oneself, to strive'"
0,"augh-, ugh-",ai.,uṣṇíhā,Genick,"Charpentier KZ. 46, 42 stellt ai. uṣṇíhā f. 'Genick' (nur Pl.) und gr. αὐχήν 'Nacken, Meerenge' zusammen. In uṣṇíhā liegt das Deminutivsuffix -ihā̆-, gr. -ιχα- vor. Anzusetzen ist *ugh-s-n-íghā das erste gh ist dissimilatorisch geschwunden.",,"nape, neck","Charpentier KZ. 46, 42 connects ai. uṣṇíhā f. 'genick' (only pl.) and gr. αὐχήν 'neck, strait'. In uṣṇíhā lies the diminutive suffix -ihā̆-, gr. -ιχα- is present. It should be assumed *ugh-s-n-íghā, the first gh dissimilated vanished."
1,"augh-, ugh-",gr.,αὐχήν,"Nacken, Meerenge",Dem *ugh-s-no steht *au̯gh-en- in gr. αὐχήν gegenüber,,"neck, strait",The *ugh-s-no is opposed to *au̯gh-en- in Greek αὐχήν.
2,"augh-, ugh-",arm.,awj,Kehle,"hierher arm. awj 'Kehle', awji-k 'Halskragen'",,throat,"hierher arm. awj 'throat', awji-k 'neck collar'"
3,"augh-, ugh-",arm.,awji-k,Halskragen,"hierher arm. awj 'Kehle', awji-k 'Halskragen'",,neckband,"hierher arm. awj 'throat', awji-k 'neck collar'"
4,"augh-, ugh-",äol.,ἄμφην,Nacken,"äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296",,"nape, neck","äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296 [UNKNOWN]"
5,"augh-, ugh-",äol.,αὔφεν,Nacken,"äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296",,"nape, neck","äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296 [UNKNOWN]"
6,"augh-, ugh-",gr.,δάφνη: kypr. δαύχνα,Lorbeer,"über gr. δάφνη: kypr. δαύχνα 'Lorbeer' besser WH. I 775 f. (vgl. oben S. 43 und Hoffmann Gr. Dial. II 500, Meister Gr. Dial. I 120)",he's saying this derivative doesn't belong here,laurel,"about gr. δάφνη: kypr. δαύχνα 'laurel' better WH. I 775 f. (cf. above p. 43 and Hoffmann Gr. Dial. II 500, Meister Gr. Dial. I 120)"
0,au̯ig̑-,Lat.,avēna,"eine Grasart, Hafer, nur als Viehfutter gebaut","vermutlich mit nach arēna, terrēnus erfolgtem Suffixtausch für *avīna aus *au̯iĝ-snā",,"a type of grass, oats, only grown as animal feed","presumably with suffix exchange performed after arēna, terrēnus for *avīna from *au̯iĝ-snā"
1,au̯ig̑-,lit.,avižà,Hafer,,,oats,
2,au̯ig̑-,lett.,àuzas,Hafer,,,oats,
3,au̯ig̑-,apr.,wyse,Hafer,,,oats,
4,au̯ig̑-,aksl.,ovьsъ,Hafer,s aus z wohl infolge der Auslautstellung in einem kons. Nom. *ovьz,,oats,s from z probably due to the final position in a consonant nominative *ovьz
5,au̯ig̑-,russ.,ovësъ,Hafer,,,oats,
,au̯ig̑-,gr.,αἰγίλωψ,"`eine wilde Grasart, festuca oder dgl.'",kaum als *αϝιγιλωψ hierher. Nach Specht Dekl. 298 wäre vielmehr idg. *au̯i- neben *au̯es- (*au̯esnā > avēna) anzusetzen.,,"a wild type of grass, festuca or similar","kaum als *αϝιγιλωψ here. According to Specht Dekl. 298, it would rather be appropriate to posit idg. *au̯i- alongside *au̯es- (*au̯esnā > avēna)."
0,"bal-, balbal-",Ai.,balbalīti,wirbelt,,,whirls,
1,"bal-, balbal-",Ai.,balvá-,schief,,,"askew, slanted",
2,"bal-, balbal-",gr.,βαλλίζω,tanze,(in Sizilien),,I dance,(in Sicily)
3,"bal-, balbal-",lat.,ballāre,tanzen,entlehnt aus gr. βαλλίζω,,to dance,borrowed from Greek βαλλίζω
0,baˣmb-,gr.,βόμβος,dumpfer Ton,(daraus lat. bombus),,dull sound,"(from this, Latin bombus)"
1,baˣmb-,gr.,"βόμβῡξ, -ῡκος",Flöhe,,,fleas,
2,baˣmb-,gr.,βομβύκια,summende Insekten,,,buzzing insects,
3,baˣmb-,gr.,βομβύλη,enghalsiges Gefäß (als 'glucksend'),,,narrow-necked vessel (as 'gurgling'),
4,baˣmb-,gr.,βομβυλιός oder -ύλιος,Hummel (und 'enghalsiges Gefäß'),,,bumblebee (and 'narrow-necked vessel'),
5,baˣmb-,Gr,βαμβαίνω,"klappere mit den Zähnen; stammle, lisple",s. unter baba-,Pokorny is referring reader to another root entry here,"clatter with teeth; stammer, lisp",see under baba-
6,baˣmb-,alb.,bumbulit,es donnert,,,it thunders,
7,baˣmb-,aisl.,bumba,Trommel,germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,drum,germ. with sound shift prevented by neocreation
8,baˣmb-,dän. alt.,bomme,Trommel,germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,drum,germ. with sound shift prevented by neocreation
9,baˣmb-,dän. alt.,bambe,Trommel,germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,drum,germ. with sound shift prevented by neocreation
10,baˣmb-,holl.,bommen,dröhnen,germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,"to drone, to rumble",germ. with sound shift prevented by neocreation
11,baˣmb-,nhd.,bum bum,(type of noise),germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,(type of noise),germ. with sound shift prevented by neocreation
12,baˣmb-,nhd.,bammeln,"läuten, klingen",germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,"to ring, to sound",germ. with sound shift prevented by neocreation
13,baˣmb-,nhd.,bimmeln,"läuten, klingen",germ. mit durch Neuschöpfung verhinderter Lautverschiebung,,"to ring, to sound",germ. with sound shift prevented by neocreation
14,baˣmb-,lit.,bambė́ti,brummen,,,"to hum, to buzz",
15,baˣmb-,lit.,bim̃pti,brummen,im Ablaut,,"to hum, to buzz",in ablaut
16,baˣmb-,lit.,bim̃balas,Bremse,,,horsefly,
17,baˣmb-,lit.,bim̃bilas,Bremse,,,horsefly,
18,baˣmb-,russ.-ksl.,búbenъ,Trommel,,,drum,
19,baˣmb-,russ.-ksl.,bubonъ,Trommel,,,drum,
20,baˣmb-,russ.,bubnítь,"schwatzen, plappern",,,"to chat, to prattle",
21,baˣmb-,poln.,bęben,Trommel,,,drum,
0,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",Ai.,bimba-ḥ,"Scheibe, Kugel, Halbkugel'",,,"disc, ball, hemisphere",
0,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",Ai.,bimba-m,"Scheibe, Kugel, Halbkugel'",,,"disc, ball, hemisphere",
1,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",Ai.,bimbī,momordica monadelpha' (eine Cucurbitacee; bimba-m 'deren rote Frucht'),f.,,momordica monadelpha' (a Cucurbitacee; bimba-m 'whose red fruit'),f. [UNKNOWN]
2,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,βέμβιξ,"Kreisel, Wasserstrudel; Hummel'",,,"top, water whirl; bumblebee",
2,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,βάβαξ,Schwätzer,wozu auf Grund eines schwundstufigen,,chatterbox,why due to a reduced grade
2,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,βαβάκτης,ὀρχηστής,wozu auf Grund eines schwundstufigen,,ὀρχηστής 'dancer',why due to a reduced grade
3,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,"πέμφιξ, -ῖγος","Hauch, Sturm, Tropfen, Brandblase', πομφός 'Brandblase, Schildbuckel'",mit bh (oder ph),,"breath, storm, drop, blister', πομφός 'blister, buckler'",with bh (or ph)
3,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,πομφός,"Brandblase, Schildbuckel'",mit bh (oder ph),,"blister, buckler",with bh (or ph)
4,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bámba,Nabel',,,navel,
5,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bam̃balas,Dickbauch',,,potbelly,
6,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bum̃bulas,"Knoten am Stock, im Garn'",,,"knot on a stick, in yarn",
7,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bum̃bulas,Wasserblase',,,water bubble,
7,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bur̃bulas,Wasserblase',,,water bubble,
8,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bum̃bulỹs,Steckrübe',,,turnip,
9,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bũmburas,Knospe',,,bud,
9,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,pum̃puras,Knospe',,,bud,
10,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bãmba,"Kugel, Ball'",,,"sphere, ball",
10,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bum̃ba,"Kugel, Ball'",,,"sphere, ball",
11,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bemberis,Tannenzapfen',,,pine cone,
12,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bimbul'i,Kartoffeln',,,potatoes,
13,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bumbulis,"Knoten, Knorren'",,,"knot, gnarl",
13,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bur̂bulis,"Knoten, Knorren'",,,"knot, gnarl",
14,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bum̃burs,"Ball, Kugel, Kartoffel'",,,"ball, sphere, potato",
15,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.-alt.,bubulja,Regentropfen',,,raindrop,
16,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.-alt.,búblikъ,"Brezel, Kringel'",(*bąbъl-ikъ),,"pretzel, twist",(*bąbъl-ikъ) [UNKNOWN]
17,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",klr.,búben,"kleiner Junge, Knirps'",,,"little boy, brat",
18,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",skr.,bùban,Art Bohne',,,type of bean,
19,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",skr.,bȕbla,Klumpen',,,lump,
20,"baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",čech.,"boubel, bublina",Wasserblase',,,water bubble,
