,web_root,root,abbr,reflex,meaning,notes,A's comments,F translated,G translated
8,kʷene,ku̯ene,mhd.,iergen,"(particle: uncertainty, generalization)",,,"(Particle: uncertainty, generalization)",
9,kʷene,ku̯ene,nhd.,irgend,"(particle: uncertainty, generalization)",,,"(Particle: uncertainty, generalization)",
0,kʷeru-,ku̯eru-,ai.,cárvati,"zerkaut, zermalmt","anders über cárvati oben S. 576, 582",,"chewed, crushed","different about cárvati above p. 576, 582"
1,kʷeru-,ku̯eru-,ai.,cūrṇa-s,"feiner Staub, Mehl",m.; im -ū- wirkt der zweite Vokal der Basis kʷeru- nach?,,"fine dust, flour",m.; does the second vowel of the base kʷeru- take effect in -ū-?
2,kʷeru-,ku̯eru-,gr.,τορύνη,σιτῶδές τε,Hes.; assimil. aus *τερύνᾱ,,you are wheat-like,Hes.; assimil. from *τερύνᾱ
3,kʷeru-,ku̯eru-,gr.,πορύναν,μαγίδα,Hes.; entw. aus ablautendem \*kʷorunā\ oder äol. Form von τορύνη,,Magic,Hes.; either derived from ablauting *kʷorunā or Aeolic form of τορύνη.
4,kʷeru-,ku̯eru-,gr.,πύρνον,Weizenbrot,-υ- in noch zu untersuchendem Zusammenhang mit dem zweiten Vokal von \*kʷeru-\,,Wheat bread,-υ- in a yet to be investigated context with the second vowel of *kʷeru-
5,kʷeru-,ku̯eru-,Hom. gr.,πύρνα,Weizenbrot,-υ- in noch zu untersuchendem Zusammenhang mit dem zweiten Vokal von \*kʷeru-\,,Wheat bread,-υ- in a yet to be investigated context with the second vowel of *kʷeru-
0,kʷr̥mi-,ku̯r̥mi-,ai.,kŕ̥mi-,"Wurm, Made",,,"Worm, Maggot",
1,kʷr̥mi-,ku̯r̥mi-,np.,kirm,Wurm,,,Worm,
2,kʷr̥mi-,ku̯r̥mi-,alb.,krimp,"grub, worm, maggot",\krim-bi\,,"grub, worm, maggot",\krim-bi\ [UNKNOWN]
,,,,,,,,,
4,kʷr̥mi-,ku̯r̥mi-,geg.,krüm,"grub, worm, maggot",,,"grub, worm, maggot",
5,kʷr̥mi-,ku̯r̥mi-,air.,cruim,Wurm,urir. \kʷrimi-\,,Worm,urir. \kʷrimi-
,,,,,,,,,
7,kʷr̥mi-,ku̯r̥mi-,cymr.,pryf,Wurm,,,Worm,
8,kʷr̥mi-,ku̯r̥mi-,corn.,pryf,Wurm,,,Worm,
9,kʷr̥mi-,ku̯r̥mi-,bret.,préñv,Wurm,,,Worm,
,,,,,,,,,
11,kʷr̥mi-,ku̯r̥mi-,nhd.,Pfrimm,FlN,gall. \*Primia\,,AI,gall. *Primia* [UNKNOWN]
12,kʷr̥mi-,ku̯r̥mi-,gall.,Primantia,FlN,,,AI,
13,kʷr̥mi-,ku̯r̥mi-,nhd.,Prims,FlN,gall. \Primantia\,,AI,gall. \Primantia\ [UNKNOWN]
14,kʷr̥mi-,ku̯r̥mi-,apr.,girmis,Made,,,Made,
15,kʷr̥mi-,ku̯r̥mi-,leg.,kirmis,Made,,,Made,
16,kʷr̥mi-,ku̯r̥mi-,lit.,kirmìs,Made,m. f. ,,Made,male and female
17,kʷr̥mi-,ku̯r̥mi-,lett.,cirmins,Made,m.,,Made,m.
18,kʷr̥mi-,ku̯r̥mi-,lett.,cḕrme,Spulwurm,f.; Mühlenbach-Endzelin I 378 u. 386,,Roundworm,f.; Mühlenbach-Endzelin I 378 and 386 [UNKNOWN]
19,kʷr̥mi-,ku̯r̥mi-,sloven.,čr̂m,"Karbunkel, Fingerwurm",,,"Carbuncle, fingerworm",
20,kʷr̥mi-,ku̯r̥mi-,poln.,czerń,Würmer im faulenden Fleisch,für \*czerḿ\? vgl. skr. \cr̂n\ 'robigo' für \*cr̂m\?,,Worms in decaying flesh,for *czerḿ? compare Sanskrit 'robigo' for *cr̂m\?
21,kʷr̥mi-,ku̯r̥mi-,poln.,czermień,Schlangenkraut,,,snake herb,
22,kʷr̥mi-,ku̯r̥mi-,poln.,czermiówka,Natternkraut,,,Snake herb,
,,,,,,,,,
24,kʷr̥mi-,ku̯r̥mi-,abg.,črъmьnъ,rot,Adj.-Bildung sl. \*čьrmьnъ\ `rot',,red,Adjective formation sl. *čьrmьnъ `red'
25,kʷr̥mi-,ku̯r̥mi-,abg.,črъmьnovati sę,feuerrot werden,Adj.-Bildung sl. \*čьrmьnъ\ `rot',,to turn bright red,Adjective formation sl. *čьrmьnъ `red'
26,kʷr̥mi-,ku̯r̥mi-,lett.,cèrme,Regenwurm,e-Hochstufe,,Earthworm,e-high grade
27,kʷr̥mi-,ku̯r̥mi-,lett.,cer̂me,Wurm,e-Hochstufe,,Worm,e-high grade
,,,,,,,,,
,,,,,,,,,
30,kʷr̥mi-,ku̯r̥mi-,abg.,črъvь,Wurm,"sl. *čьrvь, mit eigenartigem \vi\-Suffix",,Worm,"sl. *čьrvь, with peculiar \vi\-suffix"
31,kʷr̥mi-,ku̯r̥mi-,russ.,červь,Wurm,,,Worm,
32,kʷr̥mi-,ku̯r̥mi-,lit.,*skirvis,Ameise,vgl. ?,,Ant,vgl. ? [UNKNOWN]
0,kʷsep- (?),ku̯sep-,ai.,kṣáp,Nacht,,general note: Der wechselnde gr. Anlaut beruht auf Tabu-Vorstellungen.,Night,
1,kʷsep- (?),ku̯sep-,ai.,kṣapā́,Nacht,,,Night,
2,kʷsep- (?),ku̯sep-,av.,xšap-,Dunkelheit,,,Darkness,
3,kʷsep- (?),ku̯sep-,gr.,ψέφας,Dunkel,n.,,Dark,n. [UNKNOWN]
4,kʷsep- (?),ku̯sep-,gr.,ψέφος,Dunkel,n.,,Dark,n. [UNKNOWN]
5,kʷsep- (?),ku̯sep-,gr.,ψεφαρός,dunkel,,,dark,
6,kʷsep- (?),ku̯sep-,gr.,ψεφηνός,dunkel,,,dark,
7,kʷsep- (?),ku̯sep-,gr.,κνέφας,Dunkel,,,Dark,
8,kʷsep- (?),ku̯sep-,gr.,δνόφος,Finsternis,,,Darkness,
9,kʷsep- (?),ku̯sep-,gr.,γνόφος,Finsternis,später,,Darkness,later
10,kʷsep- (?),ku̯sep-,hom. gr.,δνοφερός,dunkel,,,dark,
11,kʷsep- (?),ku̯sep-,hom. gr.,ἰοδνεφής,dunkelviolett,,,dark purple,
12,kʷsep- (?),ku̯sep-,hom. gr.,ζόφος,Dunkel,,,Dark,
13,kʷsep- (?),ku̯sep-,hom. gr.,ζοφερός,dunkel,,,dark,
,,,,,,,,,
0,lā̆gh-,lā̆gh-,gr.,λαχαίνω,grabe',,,dig',
1,lā̆gh-,lā̆gh-,gr.,λάχανον,"Gartenkraut, Gemüse'",,,"Garden herb, vegetables",
2,lā̆gh-,lā̆gh-,ir.,lāige,Spaten',(\*lāgjā\),,Spade,(\*lāgjā\) [UNKNOWN]
3,lā̆gh-,lā̆gh-,ir.,lāigen,Lanze',(\*lāginā\),,Lance,(\*lāginā\) [UNKNOWN]
4,lā̆gh-,lā̆gh-,cymr.,llain,Klinge',(\*lăgīnā\),,Blade,(\*lăgīnā\) [UNKNOWN]
0,lai-,lai-,gr.,λᾱρῑνός,"gemästet, fett",\*lai̯es-r-īnos\?,,"fattened, fat","*lai̯es-r-īnos\?"" [UNKNOWN]"
1,lai-,lai-,lat.,lāridum,"Speck, gepökeltes Schweinefleisch",\*lai̯es-idom\?,,"Bacon, cured pork",\*lai̯es-idom\?
2,lai-,lai-,lat.,lardum,"Speck, gepökeltes Schweinefleisch",\*lai̯es-idom\?,,"Bacon, cured pork",\*lai̯es-idom\?
3,lai-,lai-,lat.,lārgus,"reichlich, reichlich schenkend",\*laies-agos\,,"generously, generously giving",\*laies-agos [UNKNOWN]
4,lai-,lai-,lat.,lae-tus,"fett, üppig, fruchtbar, freudig, fröhlich",,,"fat, lush, fertile, joyful, cheerful",
5,lai-,lai-,lat.,laetāre,düngen,,,fertilize,
0,lak-,lak-,arm.,lakem,lecken,aus \*kk\,"general note: Ähnliche Schallnachahmung wie __lab-__, __lap(h)-__",lick,from \*kk\
1,lak-,lak-,lit.,làkti,leckend fressen,,,licking and devouring,
2,lak-,lak-,lett.,lakt,leckend fressen,,,licking and devouring,
3,lak-,lak-,ksl.,loču,lecken,,,lick,
4,lak-,lak-,ksl.,lokati,lecken,,,lick,
0,lāmā,lāmā,lat.,lāma,"Pfütze, Sumpf","wohl kaum echt lateinisch; als Appellativ noch heute in Spanien, Südfrankreich, Oberitalien, häufig in ON im N Portugals und Spaniens, Korsika, Oberitalien und Apulien, also im venet.-illyr. Gebiet",,"Puddle, swamp","hardly genuine Latin; still used today as a common noun in Spain, Southern France, Upper Italy, frequently in proper names in Northern Portugal and Spain, Corsica, Upper Italy and Apulia, thus in the Venetian-Illyrian area."
1,lāmā,lāmā,illyr.,Λάμητος,FlN,Bruttium; heute \Lamato\,,AI,Bruttium; today Lamato
2,lāmā,lāmā,lett.,lãma,"Pfütze, Grube",,,"Puddle, hole",
3,lāmā,lāmā,lit.,lomà,"Pfütze, Grube","man erwartet \lóma\, Akk. Sg. \lõmą\",,"Puddle, hole","one expects \lóma\, Acc. Sg. \lõmą\"
4,lāmā,lāmā,bulg.,lam,"Grube, Loch",m.,,"Pit, hole",m.
0,lāp-,lāp-,alb.,lopë,Kuh,\*lāpā\,,Cow,"\*lāpā\"" [UNKNOWN]"
1,lāp-,lāp-,lett.,luõps,Vieh,,,Livestock,
2,lāp-,lāp-,schweiz.,loobe,Kuh,beeinflußt von 'lieb',,Cow,influenced by 'love'
3,lāp-,lāp-,schweiz.,lioba,Kuh,beeinflußt von 'lieb',,Cow,influenced by 'love'
0,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",hom.,λαυκανίη,"Kehle, Schlund",,,"Throat, gullet",
1,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",lit.,ра-laũkis,die Wamme des Rindes,,,the dewlap of the cow,
2,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",wruss.,łkać,"schlucken, trinken",\*lъkati\,,"swallow, drink",\*lъkati\ [UNKNOWN]
3,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",wruss.,łýkać,"schlucken, trinken",Iter.,,"swallow, drink",Iter. [UNKNOWN]
4,lauk(o)- (ləuk-),"lauk(o)-, ləuk-",klr.,łýhati,schlucken,"mit \h\ aus ursl. \g\, vgl. die wohl verwandte Wz. \(s)leug-\ 'schlucken'",,to swallow,"with \h\ from proto-Germanic \g\, compare the probably related root \(s)leug-\ 'swallow'"
0,leg-2,2. leg-,gr.,ἀλέγω,kümmere mich um etwas,ἀ- = die Präp. n̥- 'in',,take care of something,ἀ- = the preposition n̥- 'in'
1,leg-2,2. leg-,gr.,ἀλεγίζω,kümmere mich um etwas,ἀ- = die Präp. n̥- 'in',,take care of something,ἀ- = the preposition n̥- 'in'
2,leg-2,2. leg-,gr.,ἀλεγύνω,besorge,ἀ- = die Präp. n̥- 'in',,get/provide/acquire,ἀ- = the preposition n̥- 'in'
3,leg-2,2. leg-,hom. gr.,δυσ-ηλεγής,schlimm für den Menschen sorgend,Beiwort des Todes,,causing harm to humans,Epithet of death
4,leg-2,2. leg-,hom. gr.,ἀν-ηλεγής,rücksichtslos',Beiwort des Todes; vermutlich für ταν-ηλεγής einzusetzende; nach W. Schulze Kl. Schr. 538 aber zu λέγω 'zähle',,ruthless,Epithet of death; probably to be used for ταν-ηλεγής; according to W. Schulze Kl. Schr. 538 but related to λέγω 'to count'.
5,leg-2,2. leg-,alb.,plok,"nachlässig, träge",aus \pa-\ ('ohne') + \log-\ aus idg. \*lēg-\ 'nec-legens' erweist idg. \g\ für unsere Sippe,,"negligent, sluggish",from \pa-\ ('without') + \log-\ from Proto-Indo-European \*lēg-\ 'not-legens' the Proto-Indo-European \g\ proves itself for our kinship
6,leg-2,2. leg-,alb.,plogu,"nachlässig, träge",aus \pa-\ ('ohne') + \log-\ aus idg. \*lēg-\ 'nec-legens' erweist idg. \g\ für unsere Sippe,,"negligent, sluggish",from \pa-\ ('without') + \log-\ from Proto-Indo-European \*lēg-\ 'not-legens' the Proto-Indo-European \g\ proves itself for our kinship
7,leg-2,2. leg-,alb.,plogë,"nachlässig, träge",aus \pa-\ ('ohne') + \log-\ aus idg. \*lēg-\ 'nec-legens' erweist idg. \g\ für unsere Sippe,,"negligent, sluggish",from \pa-\ ('without') + \log-\ from Proto-Indo-European \*lēg-\ 'not-legens' the Proto-Indo-European \g\ proves itself for our kinship
8,leg-2,2. leg-,alb.,plogëtë,"nachlässig, träge",aus \pa-\ ('ohne') + \log-\ aus idg. \*lēg-\ 'nec-legens' erweist idg. \g\ für unsere Sippe,,"negligent, sluggish",from \pa-\ ('without') + \log-\ from Proto-Indo-European \*lēg-\ 'not-legens' the Proto-Indo-European \g\ proves itself for our kinship
0,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,alb.,lethī́,Haselstaude,\*ləĝ-\,,Hazel plant,\*ləĝ-\ [UNKNOWN]
1,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,alb.,laithī́,Haselstaude,\*ləĝ-\,,Hazel plant,\*ləĝ-\ [UNKNOWN]
2,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lit.,laz-d-à,"Stock, Haselstrauch",\*laz-g-da\,,"Stick, Hazel bush",\*laz-g-da\ [UNKNOWN]
3,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lazda,Haselstrauch,\*laz-g-da\,,Hazel shrub,\*laz-g-da\ [UNKNOWN]
4,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lagzda,Haselstrauch,\*laz-g-da\,,Hazel shrub,\*laz-g-da\ [UNKNOWN]
5,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,lett.,lę(g)zda,Haselstrauch,sekundär,,Hazel shrub,secondary
6,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,apr.,laxde,Haselstrauch,feminin(um),,Hazel shrub,feminine (noun)
7,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,apr.,kel-laxde,Speerschaft,,,Spear shaft.,
,,,,,,,,,
9,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,serb.,lĳèska,Haselstaude,slav. \lěs-k-a\; f.,,Hazel plant,slav. \lěs-k-a\; feminine.
10,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,poln.,las-k-a,Stock,slav. \lěs-k-a\; f.,,Stock,slav. \lěs-k-a\; feminine.
11,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,aksl.,loza,"Weinrebe, Schößling","unsicher ob hierher; \*ləĝā\'; s. auch unter __loĝ-__ `Rute, Gerte'",,"Grapevine, shoot","unsicher ob hierher; \*ləĝā\'; s. auch unter __loĝ-__ `Rute, Gerte'"
12,lēĝ(h)-1 : ləĝ(h)-,1. lēg̑(h)- : ləg̑(h)-,serb.,lòza,"Weinrebe, Schößling","unsicher ob hierher; \*ləĝā\'; s. auch unter __loĝ-__ `Rute, Gerte'",,"Grapevine, shoot","unsicher ob hierher; \*ləĝā\'; s. auch unter __loĝ-__ `Rute, Gerte'"
0,leik-1,1. leik-,lat.,"liceō, -ēre","feil sein, zum Verkauf ausgeboten werden, so und so hoch geschätzt werden",,,"to be on sale, to be offered for sale, to be estimated at a certain value",
1,leik-1,1. leik-,lat.,licet,es ist erlaubt,,,it is allowed,
2,leik-1,1. leik-,lat.,"liceor, -ērī",auf etwas bieten,,,to bid on something,
3,leik-1,1. leik-,lat.,pollicērī,"(darbieten, sich anheischig machen) versprechen",,,"promise (to present, to offer, to pledge)",
4,leik-1,1. leik-,osk.,"líkítud, licitud",licētō,,,it is allowed,
5,leik-1,1. leik-,lett.,"līkstu, līku, līkt",handelseins werden,,,become one action,
6,leik-1,1. leik-,lett.,salīkt,"handelseins werden, einen Handel abschließen",,,"become a trader, conclude a deal",
7,leik-1,1. leik-,lett.,nuolīkums,Vertrag,,,contract,
0,leip-2,2. leip-,gr.,λίπτομαι,begehren,,,desire/want/crave,
1,leip-2,2. leip-,gr.,λίπτω,begehren,jünger,,desire/want/crave,younger
2,leip-2,2. leip-,gr.,λελιμμένος,begehren,Partiz. Perf. Med. (in akt. Bed.),,desire/want/crave,Participle Perfect Middle (in active sense)
3,leip-2,2. leip-,gr.,λίψ,ἐπιθυμία,Hes.,,desire,Hes. [UNKNOWN]
,,,,,,,,,
5,leip-2,2. leip-,gr.,λιψουρία,Verlangen zu pissen,,,Urge to pee,
6,leip-2,2. leip-,lit.,liepiù,befehlen,,,to command or to order,
7,leip-2,2. leip-,lit.,liẽpti,befehlen,,,to command or to order,
8,leip-2,2. leip-,lit.,pa-liẽpti,befehlen,,,to command or to order,
9,leip-2,2. leip-,apr.,pallaips,Gebot,Akk. \-san\; \-so-\St.,,Command/Commandment,Acc. \-san\; \-so-\St.
10,leip-2,2. leip-,apr.,pallaipsī twei,begehren,,,desire/want/crave,
11,leip-2,2. leip-,apr.,laipinna,gebot,,,command,
,,,,,,,,,
0,(lek-1?) : lok-,1. lek-? : lok-,air.,locht,"Schuld, Fehler",\*lok-tu-\,,"Guilt, mistake","\*lok-tu-\"" [UNKNOWN]"
1,(lek-1?) : lok-,1. lek-? : lok-,ahd.,lahan,tadeln,,,to criticize or blame,
2,(lek-1?) : lok-,1. lek-? : lok-,as.,lahan,tadeln,,,to criticize or blame,
3,(lek-1?) : lok-,1. lek-? : lok-,ags.,léan,tadeln,,,to criticize or blame,
4,(lek-1?) : lok-,1. lek-? : lok-,nisl.,lá,tadeln,,,to criticize or blame,
5,(lek-1?) : lok-,1. lek-? : lok-,ags.,leahtor,"Laster, Verbrechen, Tadel",m.,,"Vice, crime, reproach",m.
6,(lek-1?) : lok-,1. lek-? : lok-,mnl.,lachter,"Schande, Hohn",,,"Shame, mockery",
7,(lek-1?) : lok-,1. lek-? : lok-,afries.,laster,"Tadel, Schimpf, Fehler",\*lahstra-\,,"Reproach, insult, mistake","\*lahstra-\"" [UNKNOWN]"
8,(lek-1?) : lok-,1. lek-? : lok-,ahd.,lastar,"Tadel, Schimpf, Fehler",\*lahstra-\,,"Reproach, insult, mistake","\*lahstra-\"" [UNKNOWN]"
9,(lek-1?) : lok-,1. lek-? : lok-,as.,lastar,"Tadel, Schimpf, Fehler",\*lahstra-\,,"Reproach, insult, mistake","\*lahstra-\"" [UNKNOWN]"
10,(lek-1?) : lok-,1. lek-? : lok-,aisl.,lǫstr,"Fehler, Laster",m.; \*lahstru-\,,"Mistakes, vices",m.; \*lahstru-\ [UNKNOWN]
0,lem-2,2. lem-,gr.,λάμος,Schlund,,,Throat,
1,lem-2,2. lem-,gr.,λάμια,Erdschlund,N. Pl.,,Earth chasm,N. Pl. [UNKNOWN]
2,lem-2,2. lem-,gr.,λάμια,Menschenfresserin,"lat. Lw. \lamia\ 'Unholdin, Vampyr', \lamium\ 'Taubnessel' als 'Rachenblütler, Löwenmäulchen'; ebenso bulg. \láḿija\, \láḿa\ 'Schlange' aus ngr. λάμια",,Cannibal woman,"lat. Lw. \lamia\ 'demoness, vampire', \lamium\ 'deadnettle' as 'throat-blooder, snapdragon'; likewise bulg. \láḿija\, \láḿa\ 'snake' from ngr. λάμια"
3,lem-2,2. lem-,gr.,λαμυρός,"gefräßig, gierig",,,"voracious, greedy",
4,lem-2,2. lem-,lat.,lemurēs,"Nachtgeister, Gespenster; Seelen der Abgeschiedenen",,,"Night spirits, ghosts; souls of the departed.",
5,lem-2,2. lem-,cymr.,llef,Stimme,,,Voice,
6,lem-2,2. lem-,mcymr.,llefein,schreien,,,scream/shout/yell,
7,lem-2,2. lem-,bret.,leñv,"Geschrei, Klage",,,"Shouting, lament",
8,lem-2,2. lem-,lit.,lemóti,lechzen,,,"to long for, to crave",
9,lem-2,2. lem-,lett.,lamāt,"schimpfen, schelten",,,"scold, reprimand",
10,lem-2,2. lem-,lett.,lamatas,Mausefalle,,,Mouse trap,
,lendh-1,1. lendh-,air.,lind,"Flüssigkeit, Trank",n.; Gen. \lenda\; \u\-Stamm,,"Liquid, drink",n.; Gen. \lenda\; \u\-stem
,lendh-1,1. lendh-,nir.,lionn,`ale',Gen. \leanna\,,`ale',Gen. \leanna\ [UNKNOWN]
,lendh-1,1. lendh-,cymr.,llyn,Trank,,,Drink.,
,lendh-1,1. lendh-,air.,lind,"Wasser, Teich, See",Gen. \linde\ f.,,"Water, pond, lake",Gen. \linde\ feminine.
,lendh-1,1. lendh-,cymr.,llyn,Teich,,,Pond,
,lendh-1,1. lendh-,acorn.,len,Wasser,,,Water,
,lendh-1,1. lendh-,bret.,lenn,Teich,,,Pond,
0,lendh-1,1. lendh-,abrit.,Λίνδον,ON,,,ON,
1,lendh-1,1. lendh-,gall.,Lindo-magus,schweiz. Flußname,Limmat',,Swiss river name,Limmat [UNKNOWN]
2,lendh-1,1. lendh-,aisl.,lind,Quelle,poetisch; aus dem Air. (?),,Source,poetic; from the Air. (?)
3,lendh-1,1. lendh-,as.,Linda,FlN,Lenne',,AI,Lenne' [UNKNOWN]
4,lendh-1,1. lendh-,afries.,lind,Teich,,,Pond,
5,lendh-1,1. lendh-,mhd.,lünde,Welle,ablautend; f.,,Wave,ablauting; feminine.
0,leng-,leng-,ai.,raṅgati,sich hin und her bewegen,,,to move back and forth,
1,leng-,leng-,alb.,lëngor,biegsam,,,flexible,
2,leng-,leng-,lit.,léngė,Vertiefung,f.,,Deepening,f. [UNKNOWN]
3,leng-,leng-,lit.,lénkė,Vertiefung,f.,,Deepening,f. [UNKNOWN]
4,leng-,leng-,lit.,lingúoti,"schweben, sich hin und her bewegen",ablaut.,,"float, sway back and forth",ablaut. [UNKNOWN]
5,leng-,leng-,lit.,lingė,Stange zum Aufhangen der Wiege,,,Rod for hanging the cradle,
6,leng-,leng-,lit.,liñgė,Feldweihe,,,Field dedication,
7,leng-,leng-,lit.,langóti,"schweben, sich hin und her bewegen",,,"float, sway back and forth",
8,leng-,leng-,lett.,lĩguôt,"schaukeln, singen",,,"swing, sing",
9,leng-,leng-,lett.,lĩg(u)õ,Jubelruf bei den Johannisfeiern,Imper.,,Cheers at the St. John's Day celebrations,Imperative.
10,leng-,leng-,lett.,l̨uodzît,"schwanken, schaukeln",,,"sway, rock",
11,leng-,leng-,lett.,Langa,Vertiefung,Bachname,,Deepening,Surname
12,leng-,leng-,apr.,Langodis,Vertiefung,Sumpfname,,Deepening,Swamp name
13,leng-,leng-,slav.,lęgъ,biegsam,,,flexible,
14,leng-,leng-,slovz.,lą̃go,biegsam,Adverb,,flexible,Adverb
15,leng-,leng-,slovz.,lągãc,"biegen, krümmen",,,"bend, curve",
16,leng-,leng-,aksl.,lǫgъ,δρυμός,ablaut.,,grove,ablaut. [UNKNOWN]
17,leng-,leng-,skr.,lûg,"Hain, Röhricht",,,"Grove, reed bed",
18,leng-,leng-,nsorb.,lug,grasiger Sumpf,,,grassy swamp,
19,leng-,leng-,nsorb.,Łužyca,ON (Lausitz),,,ON (Lusatia),
20,leng-,leng-,russ.,ljagatьsja,"schaukeln, schwanken",vielleicht,,"rocking, swaying",maybe
0,lengh-,lengh-,gr.,ἐλέγχω,"beschimpfe, tadle, überführe",,,"insult, reprimand, convict",
1,lengh-,lengh-,gr.,ἔλεγχος,"Vorwurf, Schimpf, Schande",n.,,"Accusation, insult, shame",n. [UNKNOWN]
2,lengh-,lengh-,hitt.,link-,schwören,,,swear,
3,lengh-,lengh-,mir.,lang,"Scham, Betrug, Verrat","unklar, ob hierher",,"Shame, deception, betrayal",unclear whether here
4,lengh-,lengh-,lett.,langāt,"schimpfen, mit Spitznamen belegen","unklar, ob hierher",,"scold, give nicknames",unclear whether here
0,lep-1,1. lep-,ai.,lápati,"schwatzt, flüstert, wehklagt, redet",,,"chats, whispers, laments, speaks",
1,lep-1,1. lep-,ai.,rápati,"schwatzt, flüstert, wehklagt, redet",,,"chats, whispers, laments, speaks",
2,lep-1,1. lep-,pām.,lówam,"rede, spreche, sage",,,"speak, talk, say",
3,lep-1,1. lep-,pām.,lewam,"rede, spreche, sage",,,"speak, talk, say",
4,lep-1,1. lep-,np.,lāba,Schmeichelei,,,Flattery,
5,lep-1,1. lep-,np.,lāwa,Schmeichelei,,,Flattery,
6,lep-1,1. lep-,air.,līaig,Arzt,vermutlich als \*lēpagi-\ `Besprecher'; zweisilbig; Gen. \lego\ (\*lī-ago\); keinesfalls zu got. \lēkeis\,,Doctor,presumably as *lēpagi- 'discusser'; disyllabic; Gen. \lego\ (\*lī-ago\); by no means related to Gothic \lēkeis\
,,,,,,,,,
8,lep-1,1. lep-,russ.,lepetátь,"stammeln, schwatzen, lallen",,,"stumble, chatter, babble",
9,lep-1,1. lep-,abg.,lopotivъ,"stammelnd, stotternd",,,"stuttering, stammering",
10,lep-1,1. lep-,russ.,lopotátь,"plätschern, lärmen, klatschen",,,"splashing, noise, clapping",
11,lep-1,1. lep-,skr.,lepètati,flattern,mit etwas anderer Bed.-Wendung,,flatter,with a slightly different meaning-expression
12,lep-1,1. lep-,gr.,λαπίζω,benehme mich übermütig,"Vielleicht auf ders. Schallvorstellung, aber mit \a\-Vokalismus, beruht",,I am behaving recklessly.,"Perhaps based on the same sound idea, but with \a\-vocalism."
13,lep-1,1. lep-,gr.,λαπιστής,"Aufschneider, Prahler",,,"Braggart, show-off",
14,lep-1,1. lep-,gr.,λαῖλαψ,Sturmwind,als 'heulend',,Stormwind,as 'crying'
0,lep-3,3. lep-,gr.,λέπας,"kahler Fels, Stein",n. (nur N. Akk. Sg.),,"bare rock, stone",n. (only N. Acc. Sg.)
1,lep-3,3. lep-,gr.,λεπαῖος,felsig,,,rocky,
2,lep-3,3. lep-,lat.,"lapis, -idis",Stein,lat. \a\ wird als Red.-Vokal \↓↓e↓↓\ aufgefaßt; eine weitere Möglichkeit wäre Entlehnung des gr. und ital. Wortes aus einer nichtidg. Mittelmeersprache. Beziehung zu \lep-\ `abspalten' als `abgespaltenes Steinstück' (\saxum\ : \secō\) ist denkbar.,,Stone,lat. \a\ is understood as reduced vowel \↓↓e↓↓\; another possibility would be borrowing of the Greek and Italian word from a non-Indo-European Mediterranean language. A connection to \lep-\ 'to split off' as 'split off piece of stone' (\saxum\ : \secō\) is conceivable.
3,lep-3,3. lep-,umbr.,vapeře,Sitz,"Abl. Sg., (aus Stein?)",,Seat,"Abl. Sg., (from stone?)"
4,lep-3,3. lep-,umbr.,vapersus,Sitz,Abl. Pl. (aus Stein?),,Seat,Abl. Pl. (from stone?)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,lerd-,lerd-,arm.,lorc̣-k',convulsio partium in posteriora,,,convulsion of the posterior parts,
1,lerd-,lerd-,gr.,λορδός,mit dem Oberkörper nach vorwärts gekrümmt,,,with the upper body bent forward,
2,lerd-,lerd-,gr.,"λορδοῦν, -οῦσθαι",nach vorwärts gebogen sein,,,to be curved forward,
,,,,,,,,,
4,lerd-,lerd-,gäl.,lorcach,lahm am Fuß,,,lame in the foot,
5,lerd-,lerd-,gäl.,lurcach,lahm am Fuß,,,lame in the foot,
6,lerd-,lerd-,gäl.,lurc,lahmer Fuß,m.,,lame foot,m.
7,lerd-,lerd-,ags.,be-lyrtan,betrügen,,,to deceive/to cheat/to betray,
8,lerd-,lerd-,mhd.,lürzen,betrügen,,,to deceive/to cheat/to betray,
9,lerd-,lerd-,dän.,lyrte,scherzen,,,joking,
10,lerd-,lerd-,mhd.,lerzen,stammeln,,,stammer,
11,lerd-,lerd-,mhd.,lurz,link,('krumm'),,link,('crooked')
