,web_root,root,abbr,reflex,meaning,notes
1,"*ati-, ateli-, -o-","*ati-, ateli-",lat.,attilus,"'ein störähnlicher großer Fisch im Po' (wohl gall. oder ligur.: Holder Altcelt. Sprachsch. s. v., M.-L. 766; anders Hirt IF. 37, 222)",
2,"*ati-, ateli-, -o-","*ati-, ateli-",alit.,atìs,'Steinbutte',
3,"*ati-, ateli-, -o-","*ati-, ateli-",lit.,õtas,'Steinbutte',
4,"*ati-, ateli-, -o-","*ati-, ateli-",lett.,ãte,'Steinbutte',
0,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Arm.,aganim,übernachte,
1,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Arm.,vair-ag,auf dem Lande lebend,
2,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Arm.,aut',"Übernachten, Nachtruhe, Station",
3,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἰαύω,schlafe,"aus redupl. *i-ausō, Aor. ἰ-αῦσαι, woneben unredupl. Aor. ἄεσα, Inf. ἀFέσ(σ)αι"
4,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,"αυλις, -ιδος","Aufenthaltsort, Lager, Stall, Nachtlager",
5,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,αὐλίζομαι,"bin im Hofe, übernachte",
6,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἄγραυλος,im Freien übernachtend,
7,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,αὐλή,"Hof, Wohnung","ursprüngl. wohl 'der eingezäunte Raum ums Haus, in dem das Vieh für die Nachtzeit zusammengetrieben wird'"
8,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἰαυθμός,Nachtlager,von ἰαύω stammt
9,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,μηλιαυθμός,Schafstall,von ἰαύω stammt
10,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἐνιαυθμός,Aufenthaltsort,von ἰαύω stammt (: hom. ἐνιαύειν 'sein Ruhequartier haben')
11,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἐνιαυτός,"Rast, Ruhestation","eigentlich 'Rast, Ruhestation', daher die Sonnenwenden als Ruhestationen im Sonnenlauf (solstitium), dann 'Jahr, Jahrestag' (anders Specht Idg. Dekl. 15, Schwyzer Gr. Gr. I, 424^^5^^, s. auch en- 'Jahr')"
12,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἀωτεῖς ὕπνον,"to sleep, stay overnight","Eine schwere Basis *au̯ē-, *au̯ō- in den wohl anzureihenden hom. (von Schulze Qu. ep. 72 unmittelbar zu ἰαύω gestellt unter formalem Vergleich von ἐρ(ϝ)ωτάω : εἴρομαι aus *ἔρϝομαι)"
13,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",Gr.,ἄωρος,"to sleep, stay overnight","(Sappho), ωρος (Kallimachos) 'ὕπνος' (Benfey Wzl.-Lex. I 298)"
14,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",ags.,wērig,"to sleep, stay overnight","wozu ags. wērig, engl. weary, as. wōrag, wōrig 'müde'"
15,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",engl.,weary,"to sleep, stay overnight","wozu ags. wērig, engl. weary, as. wōrag, wōrig 'müde'"
16,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",as.,"wōrag, wōrig",müde,
17,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",ahd.,wuorag,berauscht,
18,"au-2, au̯-es-, au-s-","2. au-, au̯-es-, au-s-",ai.,vāyati,wird müde,"über ai. vāyati 'wird müde'; s. aber Wz. __au̯ē-__ 'sich mühen, anstrengen'"
0,"augh-, ugh-","augh-, ugh-",ai.,uṣṇíhā,Genick,"Charpentier KZ. 46, 42 stellt ai. uṣṇíhā f. 'Genick' (nur Pl.) und gr. αὐχήν 'Nacken, Meerenge' zusammen. In uṣṇíhā liegt das Deminutivsuffix -ihā̆-, gr. -ιχα- vor. Anzusetzen ist *ugh-s-n-íghā das erste gh ist dissimilatorisch geschwunden."
1,"augh-, ugh-","augh-, ugh-",gr.,αὐχήν,"Nacken, Meerenge",Dem *ugh-s-no steht *au̯gh-en- in gr. αὐχήν gegenüber
2,"augh-, ugh-","augh-, ugh-",arm.,awj,Kehle,"hierher arm. awj 'Kehle', awji-k 'Halskragen'"
3,"augh-, ugh-","augh-, ugh-",arm.,awji-k,Halskragen,"hierher arm. awj 'Kehle', awji-k 'Halskragen'"
4,"augh-, ugh-","augh-, ugh-",äol.,ἄμφην,Nacken,"äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296"
5,"augh-, ugh-","augh-, ugh-",äol.,αὔφεν,Nacken,"äol. ἄμφην 'Nacken', äol. αὔφεν ds. müssen davon getrennt werden, trotz Schwyzer Gr. Gr. I 296"
6,"augh-, ugh-","augh-, ugh-",gr.,δάφνη: kypr. δαύχνα,Lorbeer,"über gr. δάφνη: kypr. δαύχνα 'Lorbeer' besser WH. I 775 f. (vgl. oben S. 43 und Hoffmann Gr. Dial. II 500, Meister Gr. Dial. I 120)"
0,au̯iĝ-,au̯ig̑-,Lat.,avēna,"eine Grasart, Hafer, nur als Viehfutter gebaut","vermutlich mit nach arēna, terrēnus erfolgtem Suffixtausch für *avīna aus *au̯iĝ-snā"
1,au̯iĝ-,au̯ig̑-,lit.,avižà,Hafer,
2,au̯iĝ-,au̯ig̑-,lett.,àuzas,Hafer,
3,au̯iĝ-,au̯ig̑-,apr.,wyse,Hafer,
4,au̯iĝ-,au̯ig̑-,aksl.,ovьsъ,Hafer,s aus z wohl infolge der Auslautstellung in einem kons. Nom. *ovьz
5,au̯iĝ-,au̯ig̑-,russ.,ovësъ,Hafer,
0,"bal-, balbal-","bal-, balbal-",Ai.,balbalīti,wirbelt,
1,"bal-, balbal-","bal-, balbal-",Ai.,balvá-,schief,
2,"bal-, balbal-","bal-, balbal-",gr.,βαλλίζω,tanze,(in Sizilien)
3,"bal-, balbal-","bal-, balbal-",lat.,ballāre,tanzen,daraus entlehnt
0,ba^^x^^mb-,baˣmb-,Gr,βόμβος,dumpfer Ton,
1,ba^^x^^mb-,baˣmb-,Gr,"βόμβῡξ, -ῡκος",Flöhe,
2,ba^^x^^mb-,baˣmb-,Gr,βομβύκια,summende Insekten,
3,ba^^x^^mb-,baˣmb-,Gr,βομβύλη,enghalsiges Gefäß (als 'glucksend'),
4,ba^^x^^mb-,baˣmb-,Gr,βομβυλιός oder -ύλιος,Hummel (und 'enghalsiges Gefäß'),
5,ba^^x^^mb-,baˣmb-,Gr,βαμβαίνω,"klappere mit den Zähnen; stammle, lisple",s. unter baba-
6,ba^^x^^mb-,baˣmb-,alb.,bumbulit,es donnert,
7,ba^^x^^mb-,baˣmb-,germ.,bumba,Trommel,aisl.
8,ba^^x^^mb-,baˣmb-,germ.,bomme,Trommel,dän. alt
9,ba^^x^^mb-,baˣmb-,germ.,bambe,Trommel,dän. alt
10,ba^^x^^mb-,baˣmb-,germ.,bommen,dröhnen,holl.
11,ba^^x^^mb-,baˣmb-,germ.,bum bum,(type of noise),nhd. (vgl. auch)
12,ba^^x^^mb-,baˣmb-,germ.,bammeln,"läuten, klingen",nhd.
13,ba^^x^^mb-,baˣmb-,germ.,bimmeln,"läuten, klingen",nhd.
14,ba^^x^^mb-,baˣmb-,lit.,bambė́ti,brummen,
15,ba^^x^^mb-,baˣmb-,lit.,bim̃pti,ds.,im Ablaut
16,ba^^x^^mb-,baˣmb-,lit.,bim̃balas,Bremse,
17,ba^^x^^mb-,baˣmb-,lit.,bim̃bilas,Bremse,
18,ba^^x^^mb-,baˣmb-,russ.-ksl.,búbenъ,Trommel,
19,ba^^x^^mb-,baˣmb-,russ.-ksl.,bubonъ,Trommel,
20,ba^^x^^mb-,baˣmb-,russ.,bubnítь,"schwatzen, plappern",
21,ba^^x^^mb-,baˣmb-,poln.,bęben,Trommel,
0,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",Ai.,bimba-ḥ -m,"'Scheibe, Kugel, Halbkugel'",
1,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",Ai.,bimbī,f. 'momordica monadelpha' (eine Cucurbitacee; bimba-m 'deren rote Frucht'),
2,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,βέμβιξ,"'Kreisel, Wasserstrudel; Hummel', wozu auf Grund eines schwundstufigen βάβαξ 'Schwätzer': βαβάκτης 'ὀρχηστής'",
3,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",gr.,"πέμφιξ, -ῖγος","'Hauch, Sturm, Tropfen, Brandblase', πομφός 'Brandblase, Schildbuckel'",
4,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bámba,'Nabel',
5,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bam̃balas,'Dickbauch',
6,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bum̃bulas,"'Knoten am Stock, im Garn'",
7,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,"bum̃bulas, bur̃bulas",'Wasserblase',
8,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,bum̃bulỹs,'Steckrübe',
9,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,"bũmburas, pum̃puras",'Knospe',
10,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,"bãmba, bum̃ba","'Kugel, Ball'",
11,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bemberis,'Tannenzapfen',
12,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bimbul'i,'Kartoffeln',
13,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,"bumbulis, bur̂bulis","'Knoten, Knorren'",
14,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,bum̃burs,"'Ball, Kugel, Kartoffel'",
15,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.-alt.,bubulja,'Regentropfen',
16,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.-alt.,búblikъ (*bąbъl-ikъ),"'Brezel, Kringel'",
17,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",klr.,búben,"'kleiner Junge, Knirps'",
18,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",skr.,bùban,'Art Bohne',
19,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",skr.,bȕbla,'Klumpen',
20,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",čech.,"boubel, bublina",'Wasserblase',
21,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",poln.,bąbel,'Wasserblase',
22,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",schwed. mdartl.,bamb,'Wanst',
23,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",norw. mdartl.,bamsa,"'gierig fressen, pampfen'",
24,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",dän. (jüt.),bams,'dicke Person',
25,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",nhd.,Bams,'dicker Brei',
26,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",mhd.,bemstīn,'die einen dicken Bauch hat',
27,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",schwed. mdartl.,pampen,'aufgedunsen',
28,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",dän. mdartl.,pampe,"'sich brüsten, prahlen'",
29,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",norw. mdartl.,pempa seg (*pampjan),'sich mit Trank füllen',
30,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",mnd.,pampen,'sich stopfen' (nhd. pampfen),
31,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",nhd.,pampe,'dicker Brei',
32,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lat.,pampinus,"'(*Knospe, *Auge) frischer Trieb des Weinstockes, Weinranke'",
33,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,"pampstù, pampaũ, pam̃pti",'aufschwellen',
34,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,pamplỹs,'Dickbauch',
35,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,pùmpa,"'Knauf, Teichrose'",
36,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lit.,pim̃pilas,m. 'penis',
37,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,"pàmpt, pempt, pumpt",'schwellen',
38,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,pampali,'Kartoffeln',
39,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,pimpala,'das männliche Glied',
40,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",lett.,pumpe,"'Buckel, Beule' (die u-Formen sind als Kontamination mit *pup-aufzufassen)",
41,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",abg.,pupъ,'Nabel',
42,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.,pup,'Nabel',
43,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",russ.,púpyš,"'Knospe, Wölbung'",
44,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",poln.,pęp,'Zapfen',
45,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",aisl.,fīfl,"'Riese; Tropf, Einfaltspinsel'",
46,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",aisl.,"fimbul-, fambi",'Erztropf',
47,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",dän.,fomp,'dicker Tölpel',
48,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",norw. mdartl.,"fump, famp",'dicker Tölpel',
49,"ba^^x^^mb-, bha^^x^^mbh-, pa^^x^^mp-, pha^^x^^mph-","baˣmb-, bhaˣmbh-, paˣmp-, phaˣmph-",arm.,p'amp'ušt,'Harnblase',
0,bata-,bata-,Ai.,bata,"Interjektion des Erstaunens 'ach, weh'",
1,bata-,bata-,Ai.,batá-ḥ,'Schwächling?',
2,bata-,bata-,abret.,bat,"'Betäubung, Taumel'",
3,bata-,bata-,nbret.,bad,"'Betäubung, Taumel'",
4,bata-,bata-,nbret.,"bada, badaoui",'unbesonnen reden',
5,bata-,bata-,nbret.,"bader, badaouer",'Maulaffe',
6,bata-,bata-,acorn.,badus,'lunaticus',
7,bata-,bata-,gr.,βατταρίζω,'stammle',
8,bata-,bata-,gr.,βαττολογέω,'schwatze unnützes Zeug',(vgl. Blaß-Debrunner^^7^^ p. 40 Anhang)
0,bdel-,bdel-,Gr.,βδάλλω,sauge,
1,bdel-,bdel-,Gr.,βδέλλα,Blutegel,
2,bdel-,bdel-,nhd.,zullen,an einem Lutschbeutel saugen,
3,bdel-,bdel-,nhd.,zulp,Sauglappen,
4,bdel-,bdel-,ndl.,tullen,saufen,
5,bdel-,bdel-,nhd.,tulken,"saugen, in großen Zügen trinken","Kretschmer KZ. 31, 423; sehr unsicher wegen ähnlicher germ. Worte wie norw. tūna 'viel trinken' u. dgl. (s. Falk-Torp unter tylde). Trifft die Verbindung zu, so war der idg. Anlaut bd-, oder es ist gr. β- ein - vielleicht in der Kindersprache? - aus πι- = ἐπὶ verkürztes Präfix ('be-lutschen'?)."
0,"bē, bā","bē, bā",Gr.,βῆ,"bäh schreien, vom Böcklein",einzelsprachliche Neubildungen
1,"bē, bā","bē, bā",lat.,"bēbō, -āre","bäh schreien, vom Böcklein",einzelsprachliche Neubildungen
2,"bē, bā","bē, bā",lat.,bālāre,blöken,einzelsprachliche Neubildungen
3,"bē, bā","bē, bā",vlat.,bēlāre,blöken,einzelsprachliche Neubildungen
4,"bē, bā","bē, bā",nhd.,bäh,baa (onomatopoeic: sheep bleating),einzelsprachliche Neubildungen
5,"bē, bā","bē, bā",slav. (z. B. klr.),békati,blöken,einzelsprachliche Neubildungen
6,"bē, bā","bē, bā",lett.,"bę̃, bęku, biku",Interj. 'meckernd',einzelsprachliche Neubildungen
7,"bē, bā","bē, bā",aisl.,bekri,Widder,einzelsprachliche Neubildungen
8,"bē, bā","bē, bā",schweiz.,bäckeln,von der Gemse,einzelsprachliche Neubildungen
9,"bē, bā","bē, bā",air.,béiccithir,brüllt,einzelsprachliche Neubildungen
10,"bē, bā","bē, bā",cymr.,beichio,mugire,einzelsprachliche Neubildungen
11,"bē, bā","bē, bā",ai.,bēkurā,"Stimme, Ton",einzelsprachliche Neubildungen
0,bel-1,1. bel-,arm.,pelem,"höhle, grabe",
1,bel-1,1. bel-,mir.,belach,"Kluft, Paß, Weg",
2,bel-1,1. bel-,kelt.,"*bolko-, -ā","to cut off, cut out",
3,bel-1,1. bel-,cymr.,bwlch,m. 'Spalte',
4,bel-1,1. bel-,bret.,boulc'h,ds.,
5,bel-1,1. bel-,mir.,bolg,f. (das g nach tolg ds.),
0,bis-(t)li-,bis-(t)li-,Lat.,bīlis,Galle,"(*bislis, alter *bistlis) f."
1,bis-(t)li-,bis-(t)li-,cymr.,bustl,Galle,
2,bis-(t)li-,bis-(t)li-,acorn.,bistel,Galle,
3,bis-(t)li-,bis-(t)li-,bret.,bestl,Galle,"(*bis-tlo-, -*tli-)"
4,bis-(t)li-,bis-(t)li-,gallo-rom.,*bistlos,Galle,(Wartburg)
0,blat-,blat-,Lat.,"blaterō, -āre","plappern, dumm daherschwatzen; auch vom Geschrei des Kamels, Widders, Frosches",
1,blat-,blat-,Lat.,"blatiō, -īre","plappern, schwätzen",
2,blat-,blat-,mndd.,plad(d)eren,"schwatzen, plaudern",
3,blat-,blat-,nndd.,pladdern,"platschen, bespritzen",
4,blat-,blat-,schwed.,pladder,loses Geschwätz,
5,blat-,blat-,dän.,bladre,"loses Geschwätz treiben, älter auch 'platschen'",
6,blat-,blat-,ndd.,plapperen,plappern,
7,blat-,blat-,mhd.,plappen,"to chat, prattle",
8,blat-,blat-,mhd.,blappen,"to chat, prattle",
9,blat-,blat-,ahd.,blabizōn,plаppеrn,
10,blat-,blat-,mndd.,plūderen,plаppеrn,
11,blat-,blat-,mhd.,plūdern,"to chat, prattle",
12,blat-,blat-,nhd.,plaudern,"to chat, prattle",
13,blat-,blat-,z. B.,bhlē̆d-,"aufsprudeln, schwatzen",
14,blat-,blat-,z. B.,bhel-,schallen,
15,blat-,blat-,z. B.,"bal-, bal-bal-",lit. blebénti mit dem nhd. plappern ähnlicher Bildung,baba-
0,blē-,blē-,Gr.,βληχάομαι,'blöken',
1,blē-,blē-,Gr.,βληχή,'das Blöken.',
2,blē-,blē-,russ.,blekati (alt),'blöken',
3,blē-,blē-,russ.,blekotátь,'blöken',
4,blē-,blē-,mndd.,"bleken,","'blöken, bellen', daraus nhd. blöken",
5,blē-,blē-,mndd.,blöken,"'blöken, bellen', daraus nhd. blöken",
6,blē-,blē-,norw. mdartl.,blækta (*blēkatjan),'blöken',
7,blē-,blē-,alb.,bl'egrás,ds.,
0,"brangh-, brongh-?","brangh-, brongh-?",Gr.,βράγχος,Heiserkeit,
1,"brangh-, brongh-?","brangh-, brongh-?",Gr.,βραγχάω,bin heiser,
2,"brangh-, brongh-?","brangh-, brongh-?",air.,brong(a)ide,heiser,
3,"brangh-, brongh-?","brangh-, brongh-?",Gr.,ἔβραχε,krachte,bleibt wohl fern
0,breuq-,breuq-,gr,βροῦκος,Heuschrecke,
1,breuq-,breuq-,gr,βρεῦκος,Heuschrecke,
2,breuq-,breuq-,gr,βραῦκος,Heuschrecke,
3,breuq-,breuq-,gr,βρύκος,Heuschrecke,βροῦχος wohl nach βρύ̄χω 'knirsche mit den Zähnen'
4,breuq-,breuq-,sloven,br̂knem,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",
5,breuq-,breuq-,sloven,bŕkniti,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",
6,breuq-,breuq-,sloven,br̂kam,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",
7,breuq-,breuq-,sloven,bŕkati,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",
8,breuq-,breuq-,sloven,bŕcati,"mit den Füßen stoßen, ausschlagen, mit den Fingern wegschnellen",
9,breuq-,breuq-,russ,brykátь,mit den Hinterfüßen ausschlagen,
10,breuq-,breuq-,klr,brykáty,"mutwillig herumspringen, laufen",usw
0,bhag-2,2. bhag-,Kret.,φάγρος,"Wetzstein, ἀκόνη, φοξός 'spitzköpfig' (aus *φαξός nach λοξός 'schief'?)","wird von Lidén Arm.-St. 57 ff. mit arm. bark (könnte = φάγρος sein) 'herb, bitter, scharf von Geschmack; heftig, zornig' verglichen, doch kann bark auch zu idg. *bhorgʷo-s gehören."
1,bhag-2,2. bhag-,Kret.,φοξός,spitzköpfig,
2,bhag-2,2. bhag-,Arm.,bark,"herb, bitter, scharf von Geschmack; heftig, zornig","könnte = φάγρος sein, doch kann auch zu idg. *bhorgʷo-s gehören"
0,bhāso- oder bhēso-,"bhāso-, or bhēso-",Ai.,bhāsa-ḥ,ein bestimmter Raubvogel,
1,bhāso- oder bhēso-,"bhāso-, or bhēso-",gr. hom. att.,φήνη,"eine Adlerart, wahrscheinlich Vultur monachus",
2,bhāso- oder bhēso-,"bhāso-, or bhēso-",gr. hom. att.,*bhās-nā,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich
3,bhāso- oder bhēso-,"bhāso-, or bhēso-",gr. hom. att.,*bhēs-nā,(large bird of prey),auch *bhānā (zu bhā-1) wäre möglich
0,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,bāgaudae,aufständische Guerillas,"Suffix wie in alauda, bascauda"
1,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,air. bāgaid,"kämpft, prahlt, droht",
2,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,bāg,Kampf,
3,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,mcymr. bwyo (*bāgi̯-),schlagen,
4,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,kymwy,Streit,mir. combāg ds.
5,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,-boawc,kriegerisch,mir. bāgach
6,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,bai,Fehler,müßte es idg. *bhəgh- enthalten
7,bhēgh- : bhōgh-,bhēgh- : bhōgh-,Gall.,beio,tadeln,müßte es idg. *bhəgh- enthalten
8,bhēgh- : bhōgh-,bhēgh- : bhōgh-,ahd.,"bāgan, (bāgēn?)","zanken, streiten",
9,bhēgh- : bhōgh-,bhēgh- : bhōgh-,ahd.,"aisl. bāga, bǣgja","adversari, resistere",
10,bhēgh- : bhōgh-,bhēgh- : bhōgh-,ahd.,bāga,"Zank, Streit",
